Date,Open,High,Low,Close,Adj Close,Volume
2021-08-17,58.240002,58.759998,56.810001,57.490002,56.578159,1380400
2021-08-18,57.080002,58.330002,56.790001,57.599998,56.686417,1012700
2021-08-19,56.689999,57.419998,55.189999,55.650002,54.767345,1268500
2021-08-20,55.490002,56.189999,54.660000,56.040001,55.151157,790200
2021-08-23,56.779999,58.669998,56.400002,58.250000,57.326107,782300
2021-08-24,58.139999,60.630001,58.139999,60.180000,59.225494,930800
2021-08-25,60.459999,62.040001,60.070000,61.939999,60.957577,990000
2021-08-26,61.880001,63.290001,60.680000,60.970001,60.002964,927700
2021-08-27,61.240002,63.689999,61.240002,63.240002,62.236958,1074300
2021-08-30,63.310001,63.380001,62.040001,62.070000,61.085514,816900
2021-08-31,62.500000,62.750000,60.750000,61.369999,60.396618,1711100
2021-09-01,61.820000,61.980000,60.560001,61.110001,60.140747,849000
2021-09-02,61.639999,62.139999,60.770000,61.400002,60.426140,852100
2021-09-03,61.020000,61.590000,59.720001,60.660000,59.697880,1268100
2021-09-07,60.599998,62.660000,60.259998,62.369999,61.380753,1685600
2021-09-08,62.439999,62.759998,60.580002,60.799999,59.835655,823700
2021-09-09,60.410000,62.020000,59.320000,61.500000,60.524559,1094900
2021-09-10,61.959999,61.959999,59.139999,59.250000,58.310246,1528900
2021-09-13,59.930000,60.189999,57.779999,58.509998,57.581978,1479500
2021-09-14,57.919998,58.750000,57.360001,58.580002,57.650871,2264500
2021-09-15,59.259998,60.220001,58.160000,59.590000,58.644852,1993400
2021-09-16,59.740002,61.730000,59.700001,61.369999,60.396618,1228800
2021-09-17,61.509998,62.889999,60.799999,61.490002,60.514717,1785600
2021-09-20,59.639999,61.389999,59.500000,60.889999,59.924232,1043400
2021-09-21,61.549999,62.150002,60.139999,60.459999,59.501053,703400
2021-09-22,60.970001,63.590000,60.759998,62.900002,61.902351,1881500
2021-09-23,63.320000,65.199997,63.259998,64.139999,63.122681,1357700
2021-09-24,63.889999,65.000000,63.259998,64.290001,63.270313,874400
2021-09-27,64.500000,67.070000,64.180000,66.389999,65.336998,1325700
